Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column35,Column35
http://allrecipes.com/recipe/apple-cranberry-crisp-2/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/00/74/88/748833.jpg,Apple-Cranberry Crisp,269,"flour,pecan,butter,sugar,oat,nutmeg,cinnamon,cranberries,apple",8,2.2g,43.3g,4.4g,32.2g,11.5g,4.3g,46.5mg,5,1346.11666,168,1.3074646888331358,25.73328228476126,2.614929377666272,19.13652862746681,6.8344745098095725,2.5554991645374923,27.63504910488219,0.11811,0.070193025,669.3322999211672,C,7,Labels_MMCIS/Dessert-3-Apple-Cranberry Crisp.jpeg,4.5625,48,images/good_images/Dessert-3-Apple-Cranberry Crisp-good.jpg,./attractive_dessert/Apple-Cranberry Crisp.jpg,./attractive_dessert/Apple-Cranberry Crisp.jpg
http://allrecipes.com/recipe/apricot-and-peach-fried-pies/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/00/45/18/451888.jpg,Apricot and Peach Fried Pies,280,"shortening,milk,flour,salt,vegetable oil,apricot,peach,sugar",18,3.6g,34.8g,1.3g,13.1g,14.4g,3.4g,266.4mg,5,2654,147,2.441597588545592,23.602110022607384,0.881688018,8.884702336096458,9.766390354182366,2.3059532780708363,180.67822155237377,0.6766559999999999,0.4589226827430293,795.0818387339864,C,8,Labels_MMCIS/Dessert-4-Apricot and Peach Fried Pies.jpeg,4.3,10,images/good_images/Dessert-4-Apricot and Peach Fried Pies-good.jpg,./attractive_dessert/Apricot and Peach Fried Pies.jpg,./attractive_dessert/Apricot and Peach Fried Pies.jpg
http://allrecipes.com/recipe/baked-apples/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/00/01/19/11901.jpg,Baked Apples,270,"butter,apple,sugar,cinnamon",4,0.6g,45g,3.2g,40.9g,11.5g,7.3g,91mg,5,723.4,181,0.3317666574509262,24.882499308819465,1.7694221730716064,22.61542714957147,6.358860934476085,4.036494332319602,50.317943046723805,0.2311399999999999,0.1278075753386784,625.0682886369921,C,8,Labels_MMCIS/Dessert-6-Baked Apples.jpeg,4.262295081967213,61,images/good_images/Dessert-6-Baked Apples-good.jpg,./attractive_dessert/Baked Apples.jpg,./attractive_dessert/Baked Apples.jpg
http://allrecipes.com/recipe/banana-pudding-poke-cake/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/02/25/12/2251284.jpg,Banana Pudding Poke Cake,371,"vegetable oil,egg,milk,banana,vanilla",16,4.3g,49.3g,0.6g,28.1g,17.9g,5.9g,459.9mg,5,2101,131,3.2746311280342693,37.54402665,0.4569252736792004,21.39933365064255,13.631603998096145,4.493098524512137,350.23322227510704,1.168146,0.8895923845787719,1182.9055116611137,D,8,Labels_MMCIS/Dessert-8-Banana Pudding Poke Cake.jpeg,4.333333333333333,3,images/good_images/Dessert-8-Banana Pudding Poke Cake-good.jpg,./attractive_dessert/Banana Pudding Poke Cake.jpg,./attractive_dessert/Banana Pudding Poke Cake.jpg
http://allrecipes.com/recipe/danish-pastry-apple-bars-i/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/01/00/08/1000818.jpg,Danish Pastry Apple Bars I,131,"cornflakes,apple,salt,sugar,cinnamon,egg,flour,shortening,egg,milk",32,1.5g,16.6g,1g,7.5g,6.8g,1.7g,83mg,5,1745.79996,55,2.7494558998615166,30.427311958467456,1.8329705999076773,13.747279499307584,12.464200079372208,3.116050019843052,152.1365597923373,0.21082,0.3864268618725366,1005.330851307844,C,8,Labels_MMCIS/Dessert-30-Danish Pastry Apple Bars I.jpeg,5,4,images/good_images/Dessert-30-Danish Pastry Apple Bars I-good.jpg,./attractive_dessert/Danish Pastry Apple Bars I.jpg,./attractive_dessert/Danish Pastry Apple Bars I.jpg
http://allrecipes.com/recipe/microwave-raisin-bread-pudding/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/00/32/04/320454.jpg,Microwave Raisin Bread Pudding,533,"egg,vanilla,sugar,butter,milk,cinnamon,bread",6,14.7g,82.2g,3.7g,37.5g,17.2g,8.1g,479mg,5,1511.370833,252,5.835761685629935,32.632626568624545,1.4688651861789637,14.887147157219225,6.8282381627778825,3.215623785959352,190.1584930215469,1.21666,0.4830025722747291,885.9100697,C,8,Labels_MMCIS/Dessert-48-Microwave Raisin Bread Pudding.jpeg,3.5,2,images/good_images/Dessert-48-Microwave Raisin Bread Pudding-good.jpg,./attractive_dessert/Microwave Raisin Bread Pudding.jpg,./attractive_dessert/Microwave Raisin Bread Pudding.jpg
http://allrecipes.com/recipe/pasticiotti/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/00/60/16/601676.jpg,Pasticiotti,303,"vanilla,sugar,vanilla,butter,margarine,milk,egg,cornstarch,flour,salt,milk",20,5.7g,42.5g,0.7g,21.1g,12.3g,3.1g,184.8mg,5,2434.569574,122,4.682552563601537,34.913769114572865,0.575050315,17.333659489823233,10.104455531982264,2.5466513942394324,151.81328311466038,0.469392,0.3856057391112373,1042.155799158936,C,8,Labels_MMCIS/Dessert-58-Pasticiotti.jpeg,2,1,images/good_images/Dessert-58-Pasticiotti-good.jpg,./attractive_dessert/Pasticiotti.jpg,./attractive_dessert/Pasticiotti.jpg
http://allrecipes.com/recipe/peach-dumplings/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/00/04/12/41276.jpg,Peach Dumplings,761,"vanilla,butter,sugar,peach,flour,egg,potato",10,12.6g,135.3g,6.3g,27.5g,19.2g,8.3g,224.8mg,5,4440.5,444,2.8375182974890216,30.469541718274968,1.4187591487445108,6.192996284,4.323837405697557,1.8691588785046729,50.62492962504223,0.570992,0.1285873212476072,717.5216304470217,A,7,Labels_MMCIS/Dessert-59-Peach Dumplings.jpeg,0,0,images/good_images/Dessert-59-Peach Dumplings-good.jpg,./attractive_dessert/Peach Dumplings.jpg,./attractive_dessert/Peach Dumplings.jpg
http://allrecipes.com/recipe/peanut-butter-candy/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/01/75/75/1757528.jpg,Peanut Butter Candy,142,"sugar,peanut butter,vanilla,salt,milk,syrup",16,1.7g,28.7g,0.4g,26.7g,2.9g,0.6g,32.4mg,5,715.324733,45,3.8024688292163376,64.19462082,0.8946985480509031,59.72112808239778,6.486564473369048,1.3420478220763548,72.47058239212315,0.082296,0.1840752792759928,1329.8029777477302,D,7,Labels_MMCIS/Dessert-61-Peanut Butter Candy.jpeg,5,2,images/good_images/Dessert-61-Peanut Butter Candy-good.jpg,./attractive_dessert/Peanut Butter Candy.jpg,./attractive_dessert/Peanut Butter Candy.jpg
http://allrecipes.com/recipe/pineapple-carrot-quick-bread/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/00/38/90/389025.jpg,Pineapple Carrot Quick Bread,327,"flour,oat,walnut,vegetable oil,salt,orange juice,egg,sugar,carrots,pineapple",12,7.5g,52.7g,2.7g,17.5g,10.1g,1.5g,427mg,5,1423.465,119,6.322600134179624,44.426803609502166,2.2761360483046653,14.752733646419124,8.514434847361892,1.264520026835925,359.9667009726266,1.08458,0.9143154204704717,1154.1557537417498,C,7,Labels_MMCIS/Dessert-62-Pineapple Carrot Quick Bread.jpeg,1,1,images/good_images/Dessert-62-Pineapple Carrot Quick Bread-good.jpg,./attractive_dessert/Pineapple Carrot Quick Bread.jpg,./attractive_dessert/Pineapple Carrot Quick Bread.jpg
http://allrecipes.com/recipe/plum-clafouti/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/00/02/20/22067.jpg,Plum Clafouti,186,"cinnamon,milk,sugar,salt,plums,egg,vanilla,lemon zest,flour",8,5.6g,34.9g,2g,25g,3.1g,1.1g,62.7mg,4,1586.8825370000002,198,2.823145315134311,17.594244910390614,1.0082661839765394,12.603327299706743,1.5628125851636363,0.5545464011870969,31.609144867664515,0.159258,0.080287228,392.5910238937867,A,5,Labels_MMCIS/Dessert-65-Plum Clafouti.jpeg,4.261904761904762,42,images/good_images/Dessert-65-Plum Clafouti-good.jpg,./attractive_dessert/Plum Clafouti.jpg,./attractive_dessert/Plum Clafouti.jpg
http://allrecipes.com/recipe/safta-miriams-passover-seven-layer-cake/detail.aspx,Dessert,http://images.media-allrecipes.com/userphotos/250x250/00/62/88/628805.jpg,Safta Miriam's Passover Seven Layer Cake,253,"nuts,wine,matzo,egg,sugar,margarine,chocolate",16,3.5g,29.7g,0.6g,16.2g,9.7g,2.7g,79.9mg,5,1561.6397000000002,98,3.5859744088217016,30.429554269144152,0.6147384700837203,16.597938692260445,9.938271933020143,2.7663231153767414,81.86267293281541,0.202946,0.2079311892493511,1085.2801961937826,C,7,Labels_MMCIS/Dessert-71-Safta Miriam^s Passover Seven Layer Cake.jpeg,5,2,images/good_images/Dessert-71-Safta Miriam's Passover Seven Layer Cake-good.jpg,./attractive_dessert/Safta Miriam's Passover Seven Layer Cake.jpg,./attractive_dessert/Safta Miriam's Passover Seven Layer Cake.jpg
